Address,Name,Email
94 Moorgate London EC2M 6UR,Iam Arc Ltd,laura@iam-arc.co.uk
94 Moorgate London EC2M 6UR,Iam Arc Ltd,laura@iam-arc.co.uk
94 Moorgate London EC2M 6UR,Iam Arc Ltd,laura@iam-arc.co.uk
94 Moorgate London EC2M 6UR,Lewis And Hickey,carol.leitch@lewishickey.com
20 Giltspur Street London EC1A 9DD,DP9 Ltd,amelia.johnson@dp9.co.uk
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
5 Chancery Lane London WC2A 1LG,Rapleys LLP,annie.taylor@rapleys.com
1 Undershaft London EC3A 8EE,DP9 Ltd,heloise.whiteman@dp9.co.uk
1 Undershaft London EC3A 8EE,DP9 Ltd,heloise.whiteman@dp9.co.uk
1 Undershaft London EC3A 8EE,DP9 Ltd,heloise.whiteman@dp9.co.uk
Selbourne House 11 Ironmonger Lane London EC2V 8EY,Peldon Rose Ltd,david.barnardo@peldonrose.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
52 Lime Street London EC3M 7AF,CBRE Ltd,katrina.corrigan@cbre.com
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Gerald Eve LLP,nicolamiller@geraldeve.com
7 Devonshire Square London EC2M 4YH,DP9 Limited,heloise.whiteman@dp9.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
Old Change House 128 Queen Victoria Street London EC4V 4BJ,Left City,sd@leftcity.org
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
222 Ben Jonson House Barbican London EC2Y 8DL,Thomson Brothers London Limited,admin@thomsonbrothers.co.uk
20 Giltspur Street London EC1A 9DD,DP9 Limited,amelia.johnson@dp9.co.uk
Stonecutter Court 1 Stonecutter Street London EC4A 4TR,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
5 Chancery Lane London WC2A 1LG,Rapleys LLP,annie.taylor@rapleys.com
37 Fleet Street London EC4Y 1BT,ADAM Architecture,gemma.mankelow@adamarchitecture.com
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney LLP,ldavenport@danielwatney.co.uk
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney LLP,ldavenport@danielwatney.co.uk
1 Leadenhall Street London EC3V 1AB,DP9,jack.playford@dp9.co.uk
1 Undershaft London EC3A 8EE,DP9 Limited,heloise.whiteman@dp9.co.uk
Millennium Bridge House 2 Lambeth Hill London EC4V 4AG,Gerald Eve LLP,hhowat@geraldeve.com
Millennium Bridge House 2 Lambeth Hill London EC4V 4AG,Monmouth Planning Limited,dzaire@monmouthplanning.co.uk
Royal Mint Court London EC3N 4QN,London Borough of Tower Hamlets,Ronan.Murray@towerhamlets.gov.uk
Royal Mint Court London EC3N 4QN,London Borough of Tower Hamlets,Ronan.Murray@towerhamlets.gov.uk
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emma.hardy@dp9.co.uk
1 America Square London EC3N 2LS,Zentura Ltd,trenton.pittock@zenturaworkspace.co.uk
60 Threadneedle Street London EC2R 8HP,Rolfe Judd Planning,benc@rolfe-judd.co.uk
60 Threadneedle Street London EC2R 8HP,Rolfe Judd Planning,benc@rolfe-judd.co.uk
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9,oscar.mansfieldjones@dp9.co.uk
Peterborough Court 133 Fleet Street London EC4A 2BB,Gerald Eve LLP,mcartwright@geraldeve.com
150 Cheapside London EC2V 6ET,Firstplan,thumphries@firstplan.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
120 Cheapside London EC2V 6BT,Rpa:vision,l.cross@therpagroup.com
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
Park House 16 Finsbury Circus London EC2M 7EB,Waldon Telecom Ltd,holly.hinks@waldontelecom.com
Park House 16 Finsbury Circus London EC2M 7EB,Waldon Telecom Ltd.,holly.hinks@waldontelecom.com
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
99 Bishopsgate London EC2M 3XD,DP9 Ltd,simon.gunasekara@dp9.co.uk
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
37 Fleet Street London EC4Y 1BT,ADAM Architecture,gemma.mankelow@adamarchitecture.com
55 Fleet Street London EC4Y 1JU,Barry Cunningham,colneside@gmail.com
1 Undershaft London EC3A 8EE,DP9,heloise.whiteman@dp9.co.uk
1 Basinghall Avenue London EC2V 5DD,Lichfields,charlotte.walker@lichfields.uk
1 Basinghall Avenue London EC2V 5DD,Lichfields,charlotte.walker@lichfields.uk
178 Bishopsgate London EC2M 4NQ,Iceni Projects,cwilliams@iceniprojects.com
155 Bishopsgate London EC2M 3TQ,DP9 Limited,zoe.smythe@dp9.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
178 Bishopsgate London EC2M 4NQ,Iceni Projects,cwilliams@iceniprojects.com
90 Liverpool Street London EC2M 2AT,Bidwells,jonathan.phillips@bidwells.co.uk
155 Bishopsgate London EC2M 3TQ,Sam Oguz,samoguz@hotmail.co.uk
120 Old Broad Street London EC2N 1AR,DP9 Ltd,tom.green@dp9.co.uk
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
41 Lothbury London EC2R 7HF,Gerald Eve LLP,hdavies@geraldeve.com
120 Old Broad Street London EC2N 1AR,DP9 Ltd,tom.green@dp9.co.uk
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
1 Great New Street London EC4A 3BN,Honi Poke Ltd,design@honipoke.com
Unilever House Victoria Embankment London EC4Y 0DY,Hurley And Davies,peelstephen4@googlemail.com
30 Gresham Street London EC2V 7PG,TP Bennett LLP,mike.ibbott@tpbennett.com
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
20 Gresham Street London EC2V 7JE,DP9 Ltd,steve.curley@dp9.co.uk
133 Cheapside London EC2V 6BJ,Child Graddon Lewis,rhys.taylor@cgluk.com
133 Cheapside London EC2V 6BJ,Child Graddon Lewis,rhys.taylor@cgluk.com
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
101 Moorgate London EC2M 6SA,Savills,kirsty.turner@savills.com
20 Finsbury Circus London EC2M 1UT,Firstplan,sharper@firstplan.co.uk
1 Poultry London EC2R 8EJ,Quadrant Design Ltd,stuart@quadrantdesign.co.uk
Merchant Taylors Hall 30 Threadneedle Street London EC2R 8JB,Caroe Architecture Ltd,mary.duckham@caroe.biz
Stonecutter Court 1 Stonecutter Street London EC4A 4TR,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
20 Giltspur Street London EC1A 9DD,DP9 Ltd,amelia.johnson@dp9.co.uk
Stonecutter Court 1 Stonecutter Street London EC4A 4TR,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
20 Giltspur Street London EC1A 9DD,DP9 Ltd,amelia.johnson@dp9.co.uk
20 Giltspur Street London EC1A 9DD,DP9 Ltd,amelia.johnson@dp9.co.uk
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
10 Fleet Place London EC4M 7RB,Rolfe Judd Planning Ltd,oliverc@rolfe-judd.co.uk
37 Fleet Street London EC4Y 1BT,ADAM Architecture,clare.gregory@adamarchitecture.com
37 Fleet Street London EC4Y 1BT,ADAM Architecture,clare.gregory@adamarchitecture.com
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Ashleigh Signs,gshepley@ashleigh.co.uk
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Ashleigh Signs,gshepley@ashleigh.co.uk
1 Undershaft London EC3A 8EE,DP9 Limited,heloise.whiteman@dp9.co.uk
Leadenhall Court 1 Leadenhall Street London EC3V 1PP,DP9 Ltd,jack.playford@dp9.co.uk
Leadenhall Court 1 Leadenhall Street London EC3V 1PP,DP9 Ltd,jack.playford@dp9.co.uk
70 Mark Lane London EC3R 7NQ,Maddox And Associates Ltd,admin@maddoxplanning.com
Tower Place West Tower Place London EC3R 5BU,Custom Solar Ltd,neil.beaumont@customsolar.co.uk
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emma.hardy@dp9.co.uk
80 Fenchurch Street London EC3M 4BT,TP Bennett,peter.davis@tpbennett.com
Alder Castle House 10 Noble Street London EC2V 7JX,DP9,jake.tubb@dp9.co.uk
123 Shakespeare Tower Barbican London EC2Y 8DR,Thomson Brothers London Ltd,admin@thomsonbrothers.co.uk
200 Aldersgate Street London EC1A 4HD,Savills (UK) Limited,alistair.ingram@savills.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
100 Fenchurch Street London EC3M 5JD,JLL,Barclays.Planning@jll.com
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
1 Basinghall Avenue London EC2V 5DD,Gerald Eve LLP,kellis@geraldeve.com
Wood Street Police Station 37 Wood Street London EC2P 2NQ,DP9 Limited,tom.hawkley@dp9.co.uk
Wood Street Police Station 37 Wood Street London EC2P 2NQ,DP9 Limited,desiree.coker@dp9.co.uk
1 Basinghall Avenue London EC2V 5DD,Gerald Eve LLP,Kellis@geraldeve.com
Custom House 20 Lower Thames Street London EC3R 6EA,Montagu Evans,gareth.fox@montagu-evans.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
7 Devonshire Square London EC2M 4YH,DP9 Ltd,heloise.whiteman@dp9.co.uk
Devonshire House 3 Bishopsgate Plaza London EC2M 4AJ,DP9 Ltd,elisha.robjant@dp9.co.uk
9 Devonshire Square London EC2M 4YF,Left City,sd@leftcity.org
155 Bishopsgate London EC2M 3TQ,DP9,zoe.smythe@dp9.co.uk
85 London Wall London EC2M 7AD,Alfredo Gutierrez,alfredo@laa-architecture.com
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
120 Cannon Street London EC4N 6AS,Nothing Is Not Nothing,ruben@nothingisnotnothing.com
75 King William Street London EC4N 7BE,Fabric (eu) Ltd,amy.johnson@fabriceultd.co.uk
6 St Andrew Street London EC4A 3AE,DP9 Ltd,charlotte.allen@dp9.co.uk
102 Cheapside London EC2V 6DT,JCDecaux UK Limited,martin.stephens@jcdecaux.com
102 Cheapside London EC2V 6DT,JCDecaux,martin.stephens@jcdecaux.com
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,robin.hudson@lewishickey.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,robin.hudson@lewishickey.com
15 Bishopsgate London EC2N 3AR,Colliers,philip.sweeney@colliers.com
Merchant Taylors Hall 30 Threadneedle Street London EC2R 8JB,Caroe Architecture Ltd,mary.duckham@caroe.biz
80 Farringdon Street London EC4A 4BL,Planning Potential Ltd.,james.baker@planningpotential.co.uk
10 Fleet Place London EC4M 7RB,CBRE UK &amp; Ireland Project Management &amp; Building Consultancy,Ryan.J.Lewis@cbre.com
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,hhowat@geraldeve.com
20 Giltspur Street London EC1A 9DD,DP9 Ltd,amelia.johnson@dp9.co.uk
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
5 Chancery Lane London WC2A 1LG,Rapleys,annie.taylor@rapleys.com
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney LLP,ldavenport@danielwatney.co.uk
38 Chancery Lane London WC2A 1EN,Tatehindle,sarah.brown@tatehindle.co.uk
38 Chancery Lane London WC2A 1EN,Tatehindle,sarah.brown@tatehindle.co.uk
37 Fleet Street London EC4Y 1BT,ADAM Architecture,gemma.mankelow@adamarchitecture.com
Haberdashers Hall 18 West Smithfield London EC1A 9HQ,John Robertson Architects,anja.schellenbauer@jra.co.uk
81 Gracechurch Street London EC3V 0AU,Jessop And Cook Architects,info@jessopandcook.co.uk
120 Fenchurch Street London EC3M 5AL,Design Time Ltd,stuart.evans@designtime.uk.com
The Leadenhall Building 122 Leadenhall Street London EC3V 4AB,Savills,amelia.robson@savills.com
39 St Mary Axe London EC3A 8AA,Honi Poke LTD,design@honipoke.com
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emma.hardy@dp9.co.uk
Lloyds Chambers 1 Portsoken Street London E1 8BT,Gerald Eve LLP,Pireland@geraldeve.com
15 Trinity Square London EC3N 4AA,S R Signs,planning@sr-signs.co.uk
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9,oscar.mansfieldjones@dp9.co.uk
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9,oscar.mansfieldjones@dp9.co.uk
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9 Ltd,oscar.mansfieldjones@dp9.co.uk
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9 Ltd,oscar.mansfieldjones@dp9.co.uk
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9 Ltd,oscar.mansfieldjones@dp9.co.uk
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9,oscar.mansfieldjones@dp9.co.uk
10 Devonshire Square London EC2M 4YP,DP9 Ltd,marcus.stuart@dp9.co.uk
Devonshire House 3 Bishopsgate Plaza London EC2M 4AJ,DP9 Ltd,elisha.robjant@dp9.co.uk
90 Liverpool Street London EC2M 2AT,Bidwells LLP,jonathan.phillips@bidwells.co.uk
155 Bishopsgate London EC2M 3TQ,DP9 Ltd,tom.green@dp9.co.uk
5 New Street Square London EC4A 3BF,Avison Young,zainab.hussain@avisonyoung.com
Peterborough Court 133 Fleet Street London EC4A 2BB,Gerald Eve LLP,mcartwright@geraldeve.com
65 Fleet Street London EC4Y 1HT,McAleer &amp; Rushe Contracts UK Ltd,riordan.osullivan@mcaleer-rushe.co.uk
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
60 Chiswell Street London EC1Y 4AG,Savills,kirsty.turner@savills.com
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
5 Chancery Lane London WC2A 1LG,Annie Taylor,annie.taylor@rapleys.com
100 Fetter Lane London EC4A 1ES,DP9,jack.playford@dp9.co.uk
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney LLP,ldavenport@danielwatney.co.uk
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
140 Leadenhall Street London EC3V 4QT,Avison Young,zainab.hussain@avisonyoung.com
140 Leadenhall Street London EC3V 4QT,Avison Young,zainab.hussain@avisonyoung.com
140 Leadenhall Street London EC3V 4QT,Avison Young,hannah.velani@avisonyoung.com
Friary Court 65 Crutched Friars London EC3N 2AE,DP9 Ltd,emma.hardy@dp9.co.uk
70 Mark Lane London EC3R 7NQ,Sampson Associates,emma@sampsonassociates.co.uk
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emma.hardy@dp9.co.uk
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Newmark Gerald Eve LLP,Nicola.Miller@nmrk.com
1 Basinghall Avenue London EC2V 5DD,Newmark,katie.ellis@nmrk.com
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
155 Bishopsgate London EC2M 3TQ,DP9,zoe.smythe@dp9.co.uk
155 Bishopsgate London EC2M 3TQ,DP9,zoe.smythe@dp9.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
90 Liverpool Street London EC2M 2AT,Bidwells LLP,jonathan.phillips@bidwells.co.uk
Old Change House 128 Queen Victoria Street London EC4V 4BJ,Leftcity,sd@leftcity.org
18 Cheapside London EC2V 6AH,Aesop UK Ltd,barry@thomas-mcbrien.com
1 New Change London EC4M 9AF,Gerald Eve LLP,nicolamiller@geraldeve.com
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Winchester House 75 London Wall London EC2M 5NG,DP9,james.byrne@dp9.co.uk
6 St Andrew Street London EC4A 3AE,DP9,charlotte.allen@dp9.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
30 Coleman Street London EC2R 5AL,Lichfields,rosie.williams@lichfields.uk
82 Moorgate London EC2M 6SE,Block1: Design,laura@block1design.com
20 Old Broad Street London EC2N 1DP,DP9,emily.keenan@dp9.co.uk
150 Aldersgate Street London EC1A 4AB,Not Available,Not Available
37 Fleet Street London EC4Y 1BT,ADAM Architecture,clare.gregory@adamarchitecture.com
100 Fetter Lane London EC4A 1ES,DP9,jack.playford@dp9.co.uk
1 Undershaft London EC3A 8EE,DP9,heloise.whiteman@dp9.co.uk
1 Undershaft London EC3A 8EE,DP9,heloise.whiteman@dp9.co.uk
Millennium Bridge House 2 Lambeth Hill London EC4V 4AG,Newmark,harry.howat@nmrk.com
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emma.hardy@dp9.co.uk
Lloyds Chambers 1 Portsoken Street London E1 8BT,Newmark,paige.ireland@nmrk.com
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emma.hardy@dp9.co.uk
Lloyds Chambers 1 Portsoken Street London E1 8BT,Newmark,paige.ireland@nmrk.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
City Place House 55 Basinghall Street London EC2V 5DX,DP9,charlotte.allen@dp9.co.uk
1 Basinghall Avenue London EC2V 5DD,Gerald Eve LLP,kellis@geraldeve.com
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Gerald Eve LLP,nicolamiller@geraldeve.com
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Gerald Eve LLP,nicolamiller@geraldeve.com
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9,oscar.mansfieldjones@dp9.co.uk
7 Devonshire Square London EC2M 4YH,DP9,heloise.whiteman@dp9.co.uk
90 Liverpool Street London EC2M 2AT,Bidwells LLP,jonathan.phillips@bidwells.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Seal House 1 Swan Lane London EC4R 3TN,DP9,eleanor.hulm@DP9.co.uk
120 Old Broad Street London EC2N 1AR,DP9,tom.green@dp9.co.uk
Winchester House 75 London Wall London EC2M 5NG,DP9,james.byrne@dp9.co.uk
Peterborough Court 133 Fleet Street London EC4A 2BB,Gerald Eve LLP,mcartwright@geraldeve.com
Peterborough Court 133 Fleet Street London EC4A 2BB,Gerald Eve LLP,mcartwright@geraldeve.com
30 Gresham Street London EC2V 7PG,T P Bennett LLP,mike.ibbott@tpbennett.com
94 Moorgate London EC2M 6UR,Harcroft Consulting Limited,leah@harcroftconsulting.com
94 Moorgate London EC2M 6UR,Harcroft Consulting Limited,leah@harcroftconsulting.com
94 Moorgate London EC2M 6UR,Harcroft Consulting Limited,leah@harcroftconsulting.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,carol.leitch@lewishickey.com
82 Moorgate London EC2M 6SE,Block1: Design,laura@block1design.com
160 Queen Victoria Street London EC4V 4BF,CBRE Planning &amp; Development Team,london.planning@cbre.com
100 New Bridge Street London EC4V 6JA,DP9,nathan.hall@dp9.co.uk
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,HHowat@geraldeve.com
Stonecutter Court 1 Stonecutter Street London EC4A 4TR,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
160 Queen Victoria Street London EC4V 4BF,CBRE Ltd,Grace.Collins1@cbre.com
Haberdashers Hall 18 West Smithfield London EC1A 9HQ,Bidwells,jonathan.phillips@bidwells.co.uk
5 Chancery Lane London WC2A 1LG,Rapleys,annie.taylor@rapleys.com
Leadenhall Court 1 Leadenhall Street London EC3V 1PP,DP9,jack.playford@dp9.co.uk
Tower Place West Tower Place London EC3R 5BU,Custom Solar Ltd,neil.beaumont@customsolar.co.uk
70 Mark Lane London EC3R 7NQ,Sampson Associates,emma@sampsonassociates.co.uk
60 Threadneedle Street London EC2R 8HP,Rolfe Judd Planning,benc@rolfe-judd.co.uk


Address,Name,Email
Alder Castle House 10 Noble Street London EC2V 7JX,DP9,jake.tubb@dp9.co.uk
123 Shakespeare Tower Barbican London EC2Y 8DR,Thomson Brothers London Ltd,admin@thomsonbrothers.co.uk
200 Aldersgate Street London EC1A 4HD,Savills (UK) Limited,alistair.ingram@savills.com
115,DP9 Ltd,susie.clemens@dp9.co.uk
19,DP9 Ltd,theo.barker@dp9.co.uk
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
100 Fenchurch Street London EC3M 5JD,JLL,Barclays.Planning@jll.com
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
1 Basinghall Avenue London EC2V 5DD,Gerald Eve LLP,kellis@geraldeve.com
Wood Street Police Station 37 Wood Street London EC2P 2NQ,DP9 Limited,tom.hawkley@dp9.co.uk
Wood Street Police Station 37 Wood Street London EC2P 2NQ,DP9 Limited,desiree.coker@dp9.co.uk
1 Basinghall Avenue London EC2V 5DD,Gerald Eve LLP,Kellis@geraldeve.com
Custom House 20 Lower Thames Street London EC3R 6EA,Montagu Evans,gareth.fox@montagu-evans.co.uk
Sugar Quay Jetty Sugar Quay Walk London,Daniel Watney LLP,cgoodrum@danielwatney.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
7 Devonshire Square London EC2M 4YH,DP9 Ltd,heloise.whiteman@dp9.co.uk
Devonshire House 3 Bishopsgate Plaza London EC2M 4AJ,DP9 Ltd,elisha.robjant@dp9.co.uk
9 Devonshire Square London EC2M 4YF,Left City,sd@leftcity.org
1,DP9 Ltd,zoe.smythe@dp9.co.uk
Liverpool Street Railway Station Liverpool Street London EC2M 7PY,Network Rail Infrastructure Limited,elliot.stamp@networkrail.co.uk
155 Bishopsgate London EC2M 3TQ,DP9,zoe.smythe@dp9.co.uk
1,DP9 Ltd,zoe.smythe@dp9.co.uk
Eldon House 2,DP9,charlotte.allen@dp9.co.uk
85 London Wall London EC2M 7AD,Alfredo Gutierrez,alfredo@laa-architecture.com
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
120 Cannon Street London EC4N 6AS,Nothing Is Not Nothing,ruben@nothingisnotnothing.com
75 King William Street London EC4N 7BE,Fabric (eu) Ltd,amy.johnson@fabriceultd.co.uk
"Site Bounded By King William Street, Cannon Street, Abchurch Lane",Avison Young,alex.barker@avisonyoung.com
"Site Bounded By King William Street, Cannon Street, Abchurch Lane",Avison Young,alex.barker@avisonyoung.com
6 St Andrew Street London EC4A 3AE,DP9 Ltd,charlotte.allen@dp9.co.uk
The Old Deanery Dean,Savills UK (Ltd),christian.williams@savills.com
Telephone House 2,Buttress,contact@buttress.net
102 Cheapside London EC2V 6DT,JCDecaux UK Limited,martin.stephens@jcdecaux.com
102 Cheapside London EC2V 6DT,JCDecaux,martin.stephens@jcdecaux.com
1 St Martin,Avison Young,annabelle.underdown@avisonyoung.com
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
1 Silk Street London EC2Y 8AL,DP9 Ltd,tom.hawkley@dp9.co.uk
Basildon House 7,Left City,sd@leftcity.org
Basildon House 7,Left City,sd@leftcity.org
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,robin.hudson@lewishickey.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,robin.hudson@lewishickey.com
15 Bishopsgate London EC2N 3AR,Colliers,philip.sweeney@colliers.com
Tower 42 International Financial Centre 25 Old Broad Street London EC2N 1HQ,DP9,james.byrne@dp9.co.uk
